kic_kepler_id,glx_objid
7673352,3153823897452810510
7673365,3153823897452810360
7673385,3153823897452810727
7673409,3153823897452810907
7673423,3153823897452810887
7673456,3153823897452810865
7673474,3153823897452810048
7673494,3153823897452811146
7673496,3153823897452810095
7673520,3153823897452811255
7673572,3153823897452810044
7673604,3153823897452810110
7673710,3153823897452810802
7673724,3153823897452810423
7673759,3153823897452810594
7673779,3153823897452810620
7673795,3153823897452810534
7673995,3153823897453868576
7674050,3153823897452810634
7674079,3153823897452811135
8079149,2567018939755266286
8080889,2567018939755266480
8086153,3153823897452816738
8086252,3153823897452818311
8086261,3153823897452817736
8086367,3153823897452816840
8086380,3153823897452817319
8086410,3153823897452816947
8086432,3153823897452817435
8086437,3153823897452818105
8086455,3153823897452817111
8086510,3153823897452816801
8086558,3153823897452816825
8086569,3153823897452817275
8086589,3153823897452817871
8086600,3153823897452816985
8086622,3153823897452817692
8086626,3153823897452818031
8086642,3153823897452816960
8086671,3153823897452817521
8086682,3153823897452817751
8086707,3153823897452816899
8086718,3153823897452817842
8086786,3153823897452817236
8086789,3153823897452816978
8086800,3153823897452817024
8086825,3153823897452817623
8086850,3153823897452817133
8086855,3153823897452817869
8086876,3153823897452818004
8086934,3153823897452817596
8086949,3153823897452818274
8086964,3153823897452817067
8086983,3153823897452817852
8087025,3153823897452817769
8087028,3153823897452817955
8087067,3153823897452817265
8087087,3153823897452817884
8087092,3153823897452817004
8087101,3153823897452817218
8087155,3153823897452817665
8087189,3153823897452816862
8087251,3153823897452817633
8087312,3153823897452817654
8087324,3153823897452817381
8087329,3153823897452817655
8087334,3153823897452817766
8087402,3153823897452817193
8087459,3153823897452816835
8087714,3153823897452816853
8087741,3153823897452818183
8087765,3153823897452817256
8087799,3153823897452816734
8087812,3153823897452817610
8087813,3153823897452816750
8087821,3153823897452817359
8087837,3153823897452817167
8087839,3153823897452816930
8087862,3153823897452816931
8087887,3153823897452816845
8087911,3153823897452816948
8087944,3153823897452817676
8087948,3153823897452818213
8087956,3153823897452817569
8087959,3153823897452817625
8088031,3153823897452817592
8088039,3153823897452817037
8088050,3153823897452817701
8088058,3153823897452817762
8088066,3153823897452816849
8088078,3153823897452817563
8088090,3153823897452817503
8088091,3153823897452816846
8088161,3153823897452817677
8088183,3153823897452818008
8088198,3153823897452817099
8088244,3153823897452817608
8088246,3153823897452817984
8088292,3153823897452817276
8088430,3153823897452817201
8148605,2567018939755266818
8148680,2567018939755266633
8148703,2567018939755266729
8148713,2567018939755266779
8148719,2567018939755266914
8148737,2567018939755266681
8148789,2567018939755266515
8148790,2567018939755266951
8148792,2567018939755266967
8148818,2567018939755266580
8148841,2567018939755266850
8148903,2567018939755266707
8148908,2567018939755266774
8148913,2567018939755267038
8148923,2567018939755266565
8148956,2567018939755266585
8148959,2567018939755266793
8148972,2567018939755266916
8148993,2567018939755267018
8149047,2567018939755266878
8149053,2567018939755266710
8149059,2567018939755266791
8214409,2567018939755267281
8214438,2567018939755267178
8216446,2567018939755267460
8216658,2567018939755267093
8216690,2567018939755267054
8216728,2567018939755267291
8216735,2567018939755267234
8216786,2567018939755267096
8216807,2567018939755267288
8216812,2567018939755267255
8216813,2567018939755267075
8216834,2567018939755267057
8216870,2567018939755267300
8216871,2567018939755267264
8216876,2567018939755267250
8216882,2567018939755267346
8216910,2567018939755267294
8216916,2567018939755267455
8216930,2567018939755267417
8216936,2567018939755267166
8216963,2567018939755267277
8216981,2567018939755267376
8217062,2567018939755267498
8217073,2567018939755267249
8217078,2567018939755267005
8217101,2567018939755267229
8217125,2567018939755267324
8217141,2567018939755267099
8217144,2567018939755267111
8217182,2567018939755267292
8217254,2567018939755267279
8217311,2567018939755267416
8282492,2567018939755267955
8282536,2567018939755267859
8282556,2567018939755267560
8282592,2567018939755267558
8282602,2567018939755267731
8282668,2567018939755267831
8282730,2567018939755267620
8282777,2567018939755268051
8282807,2567018939755267569
8282808,2567018939755267832
8282831,2567018939755267815
8282865,2567018939755267833
8282874,2567018939755267960
8282900,2567018939755267988
8282947,2567018939755267678
8282948,2567018939755268178
8282954,2567018939755267554
8283001,2567018939755267979
8283041,2567018939755267872
8283079,2567018939755267751
8283117,2567018939755267744
8283126,2567018939755267712
8283131,2567018939755267739
8283136,2567018939755267494
8283255,2567018939755267493
8283356,2567018939755268060
8283373,2567018939755267956
8283458,2567018939755267705
8283489,2567018939755267786
8283516,2567018939755267904
8283544,2567018939755267975
8283596,2567018939755267749
8348442,2567018939755268726
8348496,2567018939755268602
8348555,2567018939755268571
8348568,2567018939755268668
8348580,2567018939755268399
8348641,2567018939755268653
8348642,2567018939755268190
