galex_id,ra,dec,min_cnt,max_cnt,ave_cnt,lc_filename
2567018939755268945,283.854566975,44.4237048931,1.0,30.0,15.0081081081,
2567018939755268971,283.869000204,44.4325022664,0.0,25.0,10.8324324324,
2567018939755269359,283.869551735,44.4876165537,0.0,25.0,8.99189189189,
3190063800704310439,291.632067177,44.3794154334,0.0,31.0,13.0805687204,
3190063800704310726,291.63479434,44.3877028239,1.0,50.0,29.6595744681,
3190063800704310329,291.642751298,44.3640492995,0.0,27.0,12.9598108747,
3190063800704310579,291.650944848,44.3227052463,4.0,94.0,61.0709219858,
3190063800704310702,291.657705902,44.3886749238,0.0,34.0,18.0189125296,
3190063800704310697,291.666131352,44.3895698467,0.0,30.0,14.9952718676,
3190063800704310935,291.669933787,44.3785015717,0.0,26.0,14.1418439716,
3190063800705362938,291.677644242,44.3466969262,0.0,151.0,96.9101654846,3190063800705362938_LC.csv
3190063800704310662,291.677518067,44.3955305659,0.0,30.0,14.7139479905,
3190063800704309974,291.698189058,44.3198559059,0.0,28.0,13.1158392435,
3190063800704310056,291.727162933,44.330536892,0.0,27.0,13.5390070922,
3190063800704310425,291.729418996,44.3657084378,0.0,32.0,16.8345153664,
3190063800704309790,291.731907261,44.3016331923,0.0,30.0,16.304964539,
3190063800704311011,291.732053654,44.3958533324,3.0,73.0,44.5626477541,
3190063800704310568,291.770974682,44.3885206881,0.0,24.0,12.706855792,
3190063800704310183,291.779408024,44.3456549944,0.0,24.0,11.6255924171,
3190063800704309925,291.790916719,44.3157835972,0.0,40.0,19.8865248227,
3190063800704310591,291.79173499,44.3899715206,0.0,32.0,13.6122931442,
3190063800704310502,291.801123327,44.3814868329,0.0,29.0,12.9834515366,
3190063800704310308,291.815278392,44.3586424347,0.0,28.0,13.2174940898,
3190063800704310754,291.825943618,44.3932811918,0.0,73.0,43.011820331,
3190063800704310146,291.829848001,44.3413304732,0.0,27.0,12.3033175355,
3190063800704310647,291.833934444,44.3867513684,0.0,67.0,40.4302600473,
3190063800704310364,291.838495068,44.365994533,0.0,24.0,11.841607565,
3190063800704310693,291.844086549,44.3988138529,0.0,31.0,15.2553191489,
3190063800704309872,291.848398247,44.3174269853,0.0,24.0,11.1371158392,
3190063800704310646,291.857905373,44.3966386423,0.0,25.0,12.4657210402,
3190063800704310199,291.866119864,44.3466850428,0.0,30.0,13.4160756501,
3190063800704310451,291.873568634,44.3788474564,0.0,24.0,11.7701421801,
3190063800704310182,291.887885603,44.3455716932,0.0,27.0,12.9976359338,
3190063800704310026,291.897102954,44.320325294,0.0,37.0,19.0070921986,
3190063800704310359,291.899050864,44.3720531906,0.0,28.0,11.7588652482,
3190063800706407871,291.903960047,44.3868900703,5.0,118.0,76.0992907801,
3190063800704309944,291.909271375,44.3146128087,0.0,26.0,12.1448931116,
3190063800706406935,291.911140826,44.3006743037,0.0,27.0,13.2630331754,
3190063800704310208,291.910921986,44.3493973148,0.0,26.0,12.6028368794,
3190063800704310288,291.926806762,44.3586808222,0.0,25.0,12.1867612293,
3190063800704310255,291.928961959,44.3444954787,0.0,30.0,13.4231678487,
3190063800704310271,291.93501944,44.3475468172,0.0,38.0,20.5508274232,
3190063800704310271,291.93501944,44.3475468172,0.0,38.0,20.5508274232,
3190063800704310689,291.938782046,44.3981883935,0.0,28.0,13.158392435,
3190063800704310114,291.947508099,44.3164944568,0.0,24.0,11.9007092199,
3190063800704310372,291.955661898,44.3703916814,0.0,26.0,12.4893617021,
3190063800704310263,291.961138521,44.3455141493,0.0,30.0,15.011820331,
3190063800704310422,291.983183147,44.3584228104,1.0,45.0,23.63356974,
3190063800704310423,291.986996482,44.371561274,0.0,39.0,17.0496453901,
3190063800704309862,292.001789196,44.2999509961,0.0,42.0,23.3877068558,
3190063800704309922,292.007502278,44.3134268257,0.0,46.0,24.4468085106,
3190063800704310854,292.011388671,44.3930979293,0.0,66.0,41.8676122931,
3190063800704310242,292.015788698,44.3474801912,0.0,44.0,25.6477541371,
3190063800704309967,292.033942626,44.3182946514,0.0,30.0,15.8865248227,
3190063800704310162,292.041685199,44.3329645438,0.0,26.0,13.0379146919,
3190063800706407162,292.055169937,44.3211511351,0.0,33.0,15.4775413712,
3190063800704309798,292.066848091,44.3118967995,0.0,24.0,11.5791962175,
3190063800704310110,292.072222432,44.335492475,0.0,24.0,12.853427896,
3190063800704310060,292.079741521,44.3218358228,0.0,38.0,21.4657210402,
3190063800704310580,292.091791723,44.3601366568,0.0,37.0,19.9598108747,
3190063800704310655,292.094485418,44.374275523,2.0,58.0,32.988179669,
3190063800704310225,292.095569711,44.3367837983,0.0,47.0,27.2364066194,
3190063800704310111,292.100316099,44.3273143551,1.0,37.0,20.3144208038,
3190063800704310774,292.115264011,44.3995890323,0.0,27.0,13.2293144208,
3190063800704309774,292.124340466,44.3048485557,0.0,29.0,13.7706855792,
3190063800704310176,292.131953412,44.3398643267,0.0,32.0,13.8959810875,
3190063800704310051,292.133017764,44.3103301538,4.0,119.0,73.4846335697,
3190063800704309711,292.151958385,44.3009974568,1.0,27.0,12.4137115839,
3190063800704310668,292.160407163,44.3762096754,5.0,93.0,60.4940898345,
3190063800704309842,292.176301681,44.3083605871,0.0,34.0,17.5957446809,
3190063800704310448,292.188772854,44.371378169,0.0,38.0,22.0236406619,
3190063800704310156,292.200387702,44.3327713176,0.0,42.0,20.6926713948,
3190063800704309903,292.225424884,44.3104584017,0.0,31.0,15.2340425532,
3190063800704310341,292.233060672,44.3525980315,1.0,37.0,20.6737588652,
3190063800704310157,292.260121539,44.3411199356,0.0,32.0,15.8274231678,
3190063800704310234,292.265667152,44.3525076761,0.0,27.0,13.9929078014,
3190063800704310889,292.273984195,44.3914756481,0.0,53.0,24.6004728132,3190063800704310889_LC.csv
3190063800704310040,292.294378302,44.3150161819,0.0,34.0,16.7399527187,
3190063800704310452,292.306292534,44.3799331104,1.0,34.0,13.304964539,
3190063800704310604,292.318814256,44.3875159786,0.0,39.0,20.8132387707,
3190063800704309909,292.324523347,44.3160106534,0.0,29.0,15.6075650118,
3190063800704309919,292.353861952,44.3127020825,0.0,28.0,13.2174940898,
3190063800704310281,292.357003354,44.3527721506,0.0,37.0,19.672985782,
3190063800704310635,292.360892913,44.3794154628,1.0,39.0,19.8676122931,
3190063800704310651,292.368900553,44.379664252,5.0,98.0,62.4302600473,
3190063800704310524,292.382672302,44.3608355182,4.0,82.0,52.2151300236,
3190063800704310420,292.38770391,44.3574346069,3.0,83.0,51.853427896,
3190063800704310659,292.392649502,44.398389459,0.0,27.0,13.1749408983,
