Kepler ID, Distance (cm)
3546061,3.89074674836e+21
3546090,4.45892175278e+21
3546159,1.99422916717e+21
3546192,2.28905034294e+21
3546256,3.75323995938e+22
3546258,4.70799203582e+21
3546264,1.66704623204e+22
3546285,2.94138120143e+21
3546318,1.32091875585e+22
3546326,8.00841908292e+21
3546341,1.31277299309e+22
3546343,2.25875983743e+22
3546381,2.79121132579e+21
3546390,2.74502391228e+21
3546402,2.69316950377e+21
3546403,3.68231784881e+22
3546406,3.81772258055e+21
3546428,
3546455,9.51930135097e+21
3546464,1.44279585582e+22
3546472,1.93551590172e+21
3546479,2.15388745931e+21
3546523,2.36941081653e+21
3546532,9.38258644233e+21
3546537,2.42456071373e+21
3546540,1.17650413802e+22
3546598,1.87244767584e+21
3546627,3.37559228351e+21
3546631,6.36168579786e+20
3546641,1.67716497601e+22
3546683,2.01979620782e+21
3546718,2.83320687186e+21
3546735,2.31749761422e+21
3546744,8.8806603091e+20
3546765,3.29632997222e+21
3546821,1.33681372576e+21
3546892,2.86454619937e+21
3546978,1.00070666164e+22
3643228,2.87277275812e+21
3643304,6.56577416737e+21
3643325,3.06732975089e+21
3643329,7.79183513504e+22
3643343,3.47116554821e+21
3643372,3.55018481289e+21
3643387,4.77607269694e+21
3643390,1.0131487578e+22
3643447,3.19914756526e+21
3643461,2.10417045075e+21
3643466,2.72992148212e+21
3643489,1.57139425664e+22
3643644,4.09538521759e+21
3643774,6.00985592467e+22
3643799,9.22974856538e+20
3643949,5.90272192331e+21
3643951,1.60055997237e+21
3643968,1.83112864539e+22
3643973,2.84262481887e+21
3643987,
3643993,2.44151983748e+21
3644107,2.56454484927e+22
3644109,4.57507507591e+22
3644116,1.29600873764e+21
3644128,2.01068695398e+22
3644159,4.61250111183e+22
3644208,7.29287227335e+21
3644215,2.41835863944e+21
3644223,2.16978592343e+22
3644224,1.44672258781e+21
3644256,8.72648063738e+21
3644304,1.14845167118e+22
3644343,3.50145967057e+21
3644360,2.03181355429e+21
3644369,3.05939815262e+21
3644400,1.41979580418e+22
3644539,1.10582185259e+21
3644542,1.54283879073e+21
3644649,1.01886338849e+21
3644715,6.34722029467e+21
3644781,5.01492245918e+21
3644863,2.23895935977e+21
3644930,1.41054825922e+21
3644958,4.53103772716e+22
3644979,1.53446218253e+21
3645003,2.46243542351e+22
3645057,
3645077,1.17350558467e+22
3645152,2.82483814073e+21
3645182,4.35138450638e+21
3645188,2.06983119033e+21
3645193,1.2227307492e+22
3645213,1.12569350657e+22
3645232,1.23634749228e+23
3645249,2.36595906434e+21
3645265,4.34751506021e+21
3645282,5.30138190613e+21
3645335,1.11983374117e+22
3645338,1.22163118887e+22
3645345,8.02082300255e+21
3645353,1.88447596617e+22
3645411,6.13374048618e+21
3645414,3.98155695017e+21
3645430,3.28721310386e+21
3645459,4.90736937579e+21
3645502,9.98253156253e+21
3645519,2.8068108073e+21
3645530,2.20197608815e+21
3645533,2.78224324967e+22
3645568,1.07918548889e+22
3645589,4.32096994925e+22
3645639,2.85960707415e+21
3645649,1.35850119708e+22
3645658,2.82729337304e+21
3645684,
3645733,1.28700618516e+22
3645753,9.93280739427e+21
3645778,1.20400542586e+22
3645789,1.56783785709e+21
3645863,3.98909089493e+21
3645884,2.10331275745e+21
3645924,2.25249453467e+21
3645936,1.6155328836e+22
3645950,2.07026646165e+21
3645962,2.92385780547e+21
3645967,1.65391469185e+22
3646006,9.82005226781e+21
3646025,6.61428034815e+21
3646034,7.04248736822e+21
3646055,1.04288881049e+22
3646069,3.16919676656e+21
3646112,4.58991349116e+22
3646127,2.64715997692e+22
3646145,
3646181,1.42219041285e+21
3646201,2.46392099389e+21
3646260,
3646321,4.03007338278e+22
3646351,1.97135536494e+22
3646372,3.01410340149e+21
3646421,1.93894270581e+21
3646436,1.24784566331e+22
3646499,1.97108884615e+21
3646515,4.08125817387e+21
3646564,1.51809896399e+22
3646576,1.64842067632e+21
3646645,3.53532246121e+22
3646668,1.20393624758e+22
3646707,2.41814571299e+22
3646734,6.93641475906e+20
3646744,2.52411645008e+21
3646781,7.73124718732e+21
3646785,1.01004626418e+22
3646798,
3646831,
3646835,9.4695035353e+21
3646848,1.52119502692e+21
3646907,1.37349030824e+22
3646914,9.97049066026e+21
3646936,1.35377427498e+22
3646960,2.87480054473e+21
3647049,1.26024854617e+22
3647057,2.68678152795e+21
3647067,4.71587105357e+21
3647103,2.41120019875e+21
3647114,7.56139600512e+22
3647127,3.32333533476e+21
3647136,1.58525452966e+21
3647147,6.92427250322e+21
3647159,2.56919875514e+21
3647185,3.68042487418e+21
3647215,3.89697690465e+21
3647218,3.37536087497e+21
3647234,2.91794667119e+21
3647271,3.33589365802e+21
3647295,2.21887001796e+21
3647316,2.68282026028e+21
3647317,1.27700165755e+22
3647342,6.91216201144e+21
3647355,3.2003093784e+21
3647370,2.36576128734e+21
3647386,3.21040634256e+21
3647402,3.26752319659e+21
3647419,9.12169499287e+21
3647432,1.96751286387e+21
3647471,1.81426302287e+21
