LC Filename,Quiescent Flux, Start Time, End Time, Peak Flux, Median Flux, Peak Flux Sigma Above Median
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080725368_LC.csv,4.47431690145e-16,993082861.166,993082991.199,1.7174606063e-15,4.30735917427e-16,5.60651338285
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080725596_LC.csv,1.24692720296e-15,995655571.91,995655650.853,3.27270383363e-15,1.2398731676e-15,5.76028171843
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080725716_LC.csv,8.27598163557e-16,995655919.678,995656003.189,2.9324041295e-15,8.62428490994e-16,3.80137234427
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080725716_LC.csv,8.27598163557e-16,995655754.301,995656003.189,2.43957453147e-15,8.62428490994e-16,5.33104410463
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080726933_LC.csv,5.16493259682e-16,993082922.141,993083197.592,1.54733587915e-15,6.11866615291e-16,4.35959954515
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080726933_LC.csv,5.16493259682e-16,993082371.385,993082800.002,1.47922803363e-15,6.11866615291e-16,4.14619738609
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080726933_LC.csv,5.16493259682e-16,993082800.002,993082910.967,1.3810548215e-15,6.11866615291e-16,3.81830509722
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080726944_LC.csv,5.39970613122e-16,995656131.449,995656244.97,1.42607434148e-15,5.27982125899e-16,4.40835749315
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080727426_LC.csv,5.0139792698e-16,993083000.797,993083072.111,4.09817980785e-15,5.28596758671e-16,8.53418588245
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080727426_LC.csv,5.0139792698e-16,993082800.125,993082911.943,3.68397501901e-15,5.28596758671e-16,9.46051258529
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080727426_LC.csv,5.0139792698e-16,995655411.975,995655512.007,2.3580035189e-14,5.28596758671e-16,27.4594657691
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080727426_LC.csv,5.0139792698e-16,995655632.619,995655800.627,2.54779198443e-15,5.28596758671e-16,7.30674256988
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080727477_LC.csv,5.31846735692e-16,993082789.879,993082910.648,1.88405022723e-15,5.33236727348e-16,5.69079826535
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080727477_LC.csv,5.31846735692e-16,995655412.479,995655521.497,4.25709652209e-15,5.33236727348e-16,8.74741687302
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080727479_LC.csv,6.11930176152e-16,995655589.698,995655680.619,4.76663398379e-15,6.18175758433e-16,10.9396508089
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080727544_LC.csv,5.73770092021e-16,995655580.059,995655688.235,8.40123825461e-15,5.68365250513e-16,15.6011567267
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080727596_LC.csv,4.16700352466e-16,995655291.5,995655350.655,1.11116666038e-15,4.14192022985e-16,3.81538734024
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080727716_LC.csv,4.60008807923e-16,995655639.692,995655669.812,3.75899242078e-15,4.47784827183e-16,9.84849720096
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080727751_LC.csv,4.78105663049e-16,993082831.416,993082940.031,1.9916036349e-15,4.83122568254e-16,6.15331178521
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080727751_LC.csv,4.78105663049e-16,993082792.694,993082820.517,1.44508470847e-15,4.83122568254e-16,4.61195746393
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080727751_LC.csv,4.78105663049e-16,995655409.669,995655451.478,2.2277406328e-15,4.83122568254e-16,6.7367681125
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080727751_LC.csv,4.78105663049e-16,995655451.478,995655511.991,2.18953296809e-15,4.83122568254e-16,5.56566533491
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080727785_LC.csv,7.21196759651e-16,995655300.756,995655340.87,3.46174969563e-15,7.09784137723e-16,8.59884780798
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080727860_LC.csv,5.46095278618e-16,993082842.269,993082901.616,1.8239514423e-15,5.58946976327e-16,5.4168112655
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080727860_LC.csv,5.46095278618e-16,993082790.008,993082901.616,1.62677331278e-15,5.58946976327e-16,4.82359091645
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080727860_LC.csv,5.46095278618e-16,995655413.034,995655441.15,3.64621831649e-15,5.58946976327e-16,9.39041289668
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080727860_LC.csv,5.46095278618e-16,995655441.15,995655513.145,2.36746405889e-15,5.58946976327e-16,5.66526938444
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080727919_LC.csv,4.85990094033e-16,995655590.21,995655681.963,4.93634837339e-15,4.7984884333e-16,11.5260862648
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080728110_LC.csv,4.3124459858e-16,993082811.017,993082840.94,3.95072593342e-15,4.29257960281e-16,10.2019334827
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080728110_LC.csv,4.3124459858e-16,995655431.835,995655514.663,3.50809229094e-15,4.29257960281e-16,7.94734811072
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080728176_LC.csv,6.61304143791e-16,993082800.482,993082850.638,5.55529911461e-15,6.57061032648e-16,11.9277351613
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080728176_LC.csv,6.61304143791e-16,995655419.85,995655513.02,3.56325647255e-15,6.57061032648e-16,7.43047847586
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080728418_LC.csv,7.82165890135e-16,995656391.574,995656440.255,1.59413020425e-15,8.25218892684e-16,3.51148157684
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713080728452_LC.csv,4.56687874849e-16,995655412.613,995655450.243,1.32301890787e-15,4.29126503322e-16,4.43050696804
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713081779435_LC.csv,1.29115981584e-15,995655512.915,995655660.797,2.87415877549e-15,1.64651748556e-15,4.02954244035
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713081779435_LC.csv,1.29115981584e-15,995655190.618,995655348.504,2.7621207255e-15,1.64651748556e-15,3.78885902418
