Kepler ID,RA (J2000),DEC (J2000), Apparent Magnitude, App Mag Uncertainty
3543019,290.990900,38.967885,19.559,0.071
3543070,291.003700,38.656906,13.391,0.018
3543090,291.009120,38.619844,15.306,0.018
3543109,291.015420,38.664881,15.607,0.019
3543114,291.016110,38.642905,14.222,0.018
3543138,291.023500,38.634695,14.186,0.018
3543178,291.034520,38.642293,14.157,0.018
3543181,291.035520,38.720954,17.745,0.025
3543198,291.038350,38.721256,17.905,0.028
3543254,291.054240,38.427936,16.835,0.021
3543262,291.056350,38.380059,17.736,0.029
3543270,291.057600,38.645390,15.490,0.019
3543273,291.058360,38.789887,16.689,0.022
3543306,291.067290,38.515671,16.436,0.020
3543326,291.071160,38.465178,19.238,0.054
3543331,291.071680,38.511693,19.561,0.070
3543341,291.076210,38.682227,13.673,0.018
3543356,291.082510,38.664668,15.852,0.020
3543358,291.082710,38.426613,15.185,0.018
3543363,291.083800,38.455873,19.249,0.058
3543368,291.085430,38.405413,19.214,0.058
3543374,291.087470,38.595390,18.285,0.040
3543380,291.090750,38.864009,16.541,0.020
3543416,291.099630,38.601606,15.086,0.018
3543433,291.104960,38.679164,11.516,0.018
3543443,291.109540,38.388017,18.202,0.031
3543446,291.111150,38.567974,15.897,0.019
3543511,291.123980,38.675943,17.898,0.045
3543629,291.157700,38.656834,19.457,0.067
3543690,291.175150,38.802562,19.085,0.049
3543722,291.182840,38.643827,15.840,0.019
3543770,291.199800,38.368718,19.390,0.069
3543775,291.201600,38.613831,15.050,0.018
3543794,291.205990,38.436330,18.907,0.050
3543811,291.210600,38.893311,18.557,0.038
3543813,291.211440,38.327641,17.466,0.022
3543814,291.211780,38.163457,20.050,0.106
3543887,291.231420,38.620492,13.611,0.018
3543899,291.236460,38.835291,18.536,0.037
3543909,291.238610,38.973872,19.581,0.078
3543931,291.242930,38.438965,17.917,0.036
3543989,291.257250,37.948599,17.498,0.025
3544015,291.263730,39.053467,17.574,0.028
3544054,291.275640,38.832947,18.433,0.040
3544063,291.278550,38.677330,17.871,0.032
3544100,291.285690,38.629787,19.311,0.056
3544106,291.287110,38.667575,15.888,0.020
3544121,291.290250,38.707803,18.200,0.035
3544142,291.296930,38.682471,16.157,0.051
3544163,291.303390,38.628693,18.773,0.049
3544175,291.308950,39.050961,19.321,0.063
3544201,291.313700,38.596428,18.264,0.037
3544208,291.315810,38.619730,18.800,0.055
3544229,291.321670,38.742481,14.869,0.018
3544256,291.327630,38.689119,16.032,0.020
3544258,291.327820,38.669965,14.353,0.018
3544260,291.327920,38.684027,19.153,0.072
3544323,291.344880,38.591545,18.189,0.034
3544342,291.350610,38.683791,16.054,0.020
3544346,291.351350,39.094041,12.691,0.018
3544352,291.353260,38.353711,19.721,0.108
3544371,291.356310,38.663561,14.623,0.018
3544384,291.362780,38.633814,18.159,0.032
3544390,291.362130,38.437630,18.332,0.038
3544418,291.370720,38.758923,15.488,0.019
3544421,291.371550,38.648503,15.171,0.018
3544426,291.371690,38.402209,16.129,0.020
3544437,291.376000,38.629412,15.262,0.018
3544494,291.390390,41.526059,17.005,0.023
3544501,291.391510,38.077985,18.401,0.031
3544534,291.399660,38.644256,13.877,0.018
3544556,291.406530,38.625474,13.933,0.018
3544594,291.418160,38.672408,,
3544595,291.418370,38.892428,18.070,0.032
3544653,291.435030,38.630477,13.495,0.018
3544657,291.436100,38.477707,19.036,0.069
3544662,291.437770,38.724703,17.265,0.024
3544673,291.440390,38.779877,19.297,0.067
3544695,291.446900,38.758001,19.272,0.089
3544709,291.451610,38.614358,13.018,0.017
3544731,291.461390,38.778969,17.278,0.027
3544774,291.471740,38.618578,16.486,0.021
3544778,291.472550,38.370783,16.507,0.021
3544785,291.474340,38.647228,14.729,0.018
3544826,291.483760,38.644099,19.255,0.069
3544834,291.487160,38.669968,15.689,0.019
3544852,291.496710,38.644450,14.649,0.018
3544875,291.501920,38.649435,13.455,0.018
3544878,291.502990,38.794644,18.891,0.048
3544887,291.505910,38.670330,13.263,0.018
3544895,291.508790,38.162053,19.181,0.057
3544900,291.510240,38.676286,15.922,0.019
3544956,291.528130,38.654414,14.278,0.018
3544959,291.528430,38.669315,16.072,0.019
3544989,291.536940,38.643012,16.710,0.021
3545002,291.539840,38.957323,19.694,0.076
3545004,291.540020,38.606264,15.886,0.019
3545016,291.544840,38.623611,14.842,0.018
