Kepler ID,RA (J2000),Dec (J2000),RA PM,Dec PM,Star/Gal ID,Teff,Log G,Metallicity,E(B-V),A_V,Radius,Parallax
3953243,291.2173310,39.0585100,-3.000e-4,-0.002,0,5972,4.464,-0.211,0.145,0.451,1.013,
3953250,291.2188700,39.0181100,-0.004,-0.003,0,4877,3.375,-1.487,0.149,0.463,4.009,
3953290,291.2297400,39.0727300,0.013,-0.011,0,5920,4.372,-0.069,0.166,0.514,1.132,
3953292,291.2303000,39.0470000,4.000e-4,0.001,0,4698,3.262,-0.252,0.162,0.502,4.604,
3953314,291.2379300,39.0168500,-0.002,-0.002,0,5873,4.385,-0.074,0.168,0.522,1.111,
3953330,291.2429810,39.0966100,-0.029,9.000e-4,0,4687,2.761,-0.351,0.179,0.554,8.285,
3953442,291.2804810,39.0544900,1.000e-4,-0.003,0,5408,4.608,-0.219,0.112,0.348,0.817,
3953515,291.3051300,39.0121100,-0.001,6.000e-4,0,5305,4.470,-0.268,0.148,0.458,0.963,
3953603,291.3276300,39.0278700,-0.003,-0.005,0,5439,4.429,-0.282,0.138,0.429,1.026,
3953695,291.3525300,39.0813900,0.004,-0.010,0,5033,4.359,0.271,0.111,0.345,1.084,
3953701,291.3542100,39.0320000,0.000,0.000,0,3859,4.611,0.062,0.072,0.222,0.566,
3953725,291.3587700,39.0265700,0.009,0.003,0,4198,4.641,-0.681,0.038,0.117,0.607,
3953776,291.3723000,39.0724400,-2.000e-4,0.003,0,6102,4.522,0.002,0.141,0.437,0.949,
3953866,291.3966110,39.0833200,-0.001,-0.003,0,5800,4.403,0.246,0.145,0.448,1.084,
3953921,291.4135010,39.0417100,-0.004,0.001,0,6364,4.708,0.278,0.130,0.403,0.764,
3953923,291.4154300,39.0456400,-0.008,-0.011,0,5577,4.422,0.058,0.117,0.364,1.046,
3953970,291.4255700,39.0041700,0.015,-0.003,0,4674,4.272,-0.684,0.091,0.281,1.163,
3953981,291.4281800,39.0737800,1.000e-4,0.011,0,4925,3.632,-0.580,0.110,0.342,2.894,
3953986,291.4287300,39.0497900,-6.000e-4,-0.001,0,6101,4.539,0.004,0.121,0.374,0.930,
3954000,291.4330800,39.0397200,-0.006,0.006,0,4809,2.883,0.244,0.170,0.526,7.241,
3954029,291.4413600,39.0465200,-0.020,0.000,0,5770,4.135,0.273,0.145,0.449,1.518,
3954112,291.4612700,39.0226300,-0.008,-0.006,0,6345,3.910,-0.229,0.128,0.395,2.072,
3954118,291.4636800,39.0442900,0.000,0.000,0,6004,4.633,0.111,0.150,0.466,0.824,
3954136,291.4681100,39.0162100,0.000,0.000,0,6356,4.344,-0.209,0.131,0.405,1.193,
3954151,291.4719710,39.0739700,0.010,0.002,0,5736,4.440,-0.107,0.088,0.271,1.032,
3954196,291.4853700,39.0276000,-0.014,-0.005,0,5616,4.728,-0.002,0.095,0.295,0.717,
3954211,291.4905000,39.0486600,0.001,0.009,0,6106,4.807,0.119,0.154,0.479,0.667,
3954222,291.4920900,39.0801100,-0.021,-0.002,0,5464,4.771,-0.233,0.082,0.253,0.668,
3954235,291.4949700,39.0305600,0.003,0.020,0,4790,3.924,0.023,0.133,0.413,1.950,
3954265,291.5088500,39.0336300,0.008,-0.005,0,5154,4.838,0.032,0.074,0.230,0.591,
3954275,291.5123100,39.0312500,-0.002,-0.011,0,5412,4.883,-0.083,0.112,0.347,0.575,
