Filename, Kepler ID, Start Time, End Time, Estimated Bolometric Energy (erg)
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933414_LC.csv,10909922,930268404.616,930268439.758,2.44905262677e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933414_LC.csv,10909922,930267664.471,930267765.778,3.02684327902e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933414_LC.csv,10909922,930274303.923,930274361.664,2.85019787143e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933414_LC.csv,10909922,930274195.672,930274253.988,3.18689159133e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933414_LC.csv,10909922,930274075.533,930274133.64,3.69770103706e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933414_LC.csv,10909922,930273724.559,930273762.761,2.08819583855e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933414_LC.csv,10909922,930273954.606,930274023.836,2.93378130573e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933414_LC.csv,10909922,930273853.992,930273901.489,1.87402763449e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933561_LC.csv,10908547,995714323.513,995714363.005,9.10151023247e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933613_LC.csv,10908541,995714317.604,995714364.04,3.17954780768e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,926102784.203,926102995.234,4.48794872077e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,926103025.021,926103053.383,1.36092395545e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,926103262.56,926103291.515,1.31421509293e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,926102662.993,926102752.043,4.0987638063e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,926103383.066,926103413.809,1.1584102397e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,926103085.682,926103114.301,9.71048005995e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,926103624.076,926103664.678,1.0600818799e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,926103475.57,926103534.647,1.23877257563e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,926103145.867,926103195.379,1.09669383562e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,926103862.037,926103905.93,1.0062146684e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,926103433.847,926103462.819,7.53154372904e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,926103732.619,926103774.887,9.51055271407e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,926103534.647,926103582.55,6.57430819372e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,926103924.557,926103943.946,5.46448155643e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,926103314.455,926103343.963,5.59589305009e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,926103195.379,926103253.56,8.39332070777e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,926103684.924,926103703.868,5.11032140939e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,926103791.93,926103832.969,5.73731839596e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,930267964.168,930268012.875,1.63888218131e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,930268074.566,930268132.09,1.08832386132e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,930268204.24,930268244.311,1.27035035795e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,930274122.351,930274174.984,1.33294305664e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,930273764.19,930273804.47,1.23838639285e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,930273882.891,930273924.574,1.5446290958e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,930273644.805,930273681.89,9.90675681231e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,930274233.508,930274263.98,5.54708612114e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,930274004.641,930274063.663,1.17543776978e+34
