galex_id,ra,dec,min_cnt,max_cnt,ave_cnt,lc_filename
3190204538192661856,292.182235619,40.9215106138,2.0,57.0,35.1819184123,
3190204538192661858,292.849101108,40.8908037019,8.0,99.0,71.4454244763,
3190204538192661859,293.1049903,40.9223430592,1.0,34.0,16.5424476295,
3190204538192661860,292.330679049,40.9076695957,1.0,34.0,19.4068357222,
3190204538192661867,293.008200172,40.9043630027,1.0,42.0,24.0683572216,
3190204538192661901,292.348363655,40.9252603917,1.0,30.0,14.2679162073,
3190204538192661902,292.398077214,40.9255978817,1.0,32.0,18.4553472988,
3190204538192661910,292.339116136,40.9252710135,1.0,28.0,15.6152149945,
3190204538192661912,292.390727856,40.9243541914,1.0,36.0,21.8776185226,
3190204538192661916,292.182723014,40.9252122709,2.0,66.0,38.2271223815,
3190204538192661919,292.479983456,40.9250434485,1.0,38.0,21.94707828,
3190204538192661931,292.983133091,40.9210249684,1.0,40.0,20.441014333,
3190204538192661940,292.32204015,40.9042050899,2.0,39.0,23.7508269019,
3190204538192661946,292.033672677,40.9263631407,1.0,32.0,17.2910694598,
3190204538192661956,292.160286311,40.920017826,4.0,70.0,41.9360529217,
3190204538192661962,292.597544083,40.9248228393,1.0,29.0,14.8257993385,
3190204538192661965,291.981808727,40.9085800503,12.0,99.0,71.5303197354,
3190204538192661967,292.238278057,40.921227311,2.0,45.0,25.3031973539,
3190204538192661973,292.148845095,40.9323899677,1.0,31.0,14.0430939227,
3190204538192661978,293.224619172,40.9318844676,2.0,31.0,17.2116868798,
3190204538192661985,292.37323125,40.9287061472,2.0,33.0,16.3929359823,
3190204538192662011,292.220918673,40.9357574552,2.0,29.0,15.3774834437,
3190204538192662014,292.647287847,40.9152815593,3.0,29.0,15.0584343991,
3190204538192662025,292.584980997,40.9181351777,7.0,60.0,41.1521499449,
3190204538192662033,292.152882091,40.9411479646,2.0,25.0,11.6887417219,
3190204538192662041,293.069779209,40.9300171292,5.0,49.0,29.1179713341,
3190204538192662043,292.940508272,40.9314078282,4.0,43.0,26.7122381477,
3190204538192662050,292.012458706,40.9314388518,1.0,28.0,12.9007717751,
3190204538192662062,292.419389415,40.9278705444,5.0,62.0,39.0,
3190204538192662065,293.227751184,40.9369740236,2.0,41.0,22.0970231533,
3190204538192662066,292.900652259,40.9412031595,1.0,35.0,16.0452039691,
3190204538192662067,292.237710361,40.9359773886,3.0,40.0,22.7420066152,
3190204538192662069,292.3428908,40.9314106542,2.0,30.0,14.9106945976,
3190204538192662073,293.057297178,40.9328824647,1.0,34.0,18.5237045204,
3190204538192662094,291.969026332,40.9312846234,3.0,66.0,41.6085997795,
3190204538192662106,293.001916488,40.9388553663,1.0,33.0,16.1037527594,
3190204538192662107,292.956376671,40.9322367538,3.0,51.0,31.5336273429,
3190204538192662108,292.262109557,40.9411685401,1.0,31.0,15.8687982359,
3190204538192662120,292.34108992,40.9414080466,1.0,25.0,12.2954796031,
3190204538192662121,293.203347426,40.9426791395,1.0,39.0,22.8897464168,
3190204538192662126,292.92863357,40.9449720009,3.0,37.0,19.6339581036,
3190204538192662130,291.962597182,40.9334813592,6.0,61.0,35.796030871,
3190204538192662140,293.215211078,40.942696769,1.0,36.0,19.1069459757,
3190204538192662146,293.068963237,40.9474439333,2.0,33.0,18.3770672547,
3190204538192662159,292.460690226,40.9512971915,1.0,28.0,13.8699007718,
3190204538192662160,293.226209378,40.9539014768,1.0,27.0,14.6824696803,
3190204538192662177,292.518873794,40.9496741969,2.0,34.0,20.5622932745,
3190204538192662193,292.51273872,40.9496173717,1.0,30.0,16.2560706402,
3190204538192662203,292.537408788,40.8976597338,4.0,68.0,43.6438809261,
3190204538192662207,292.501830571,40.958528097,2.0,27.0,12.2626931567,
3190204538192662217,292.36608238,40.9484998437,2.0,24.0,12.4624724062,
3190204538192662221,293.081564616,40.9506612632,1.0,32.0,18.0629139073,
3190204538192662226,292.125523178,40.9542009014,2.0,34.0,20.0926130099,
3190204538192662231,293.159993064,40.9431710848,2.0,49.0,32.3936052922,
3190204538192662232,293.174188704,40.950640786,2.0,38.0,22.7331863286,
3190204538192662233,292.35462251,40.9458356845,6.0,58.0,37.8346196251,
3190204538192662238,292.413560929,40.9323832989,1.0,31.0,16.5242825607,
